Study_Hours,Attendance,Previous_Score,Assignments_Score,Final_Marks
8.5,80,90,74,96.0
8.9,64,92,73,93.2
2.1,77,75,61,73.2
6.1,87,90,67,85.4
5.3,81,65,64,80.3
3.8,80,68,93,81.4
3.0,65,60,65,63.0
4.7,60,50,76,61.4
9.5,64,79,57,89.7
4.6,71,50,95,70.9
6.2,85,75,74,85.7
7.6,93,88,66,96.5
4.9,73,98,78,86.2
9.8,85,78,57,91.8
9.7,86,79,64,97.0
4.0,68,74,76,77.5
6.0,85,93,95,99.0
4.4,81,73,99,80.8
4.3,89,94,56,85.5
2.3,76,86,52,72.2
6.9,85,63,78,84.8
6.0,95,93,93,100.0
2.4,60,61,73,63.5
4.2,67,44,52,66.0
9.3,94,95,69,100.0
3.9,74,72,95,78.5
3.2,81,97,64,80.4
5.9,73,75,74,76.8
9.9,85,86,79,96.8
3.9,87,59,63,69.9
7.4,82,58,56,81.4
8.1,73,74,66,85.1
3.9,83,91,93,90.2
7.8,61,82,69,84.1
4.9,85,56,85,78.2
7.1,73,98,58,94.7
7.1,66,84,87,82.6
6.3,62,82,97,90.2
2.7,82,73,71,67.2
8.7,77,48,51,74.3
4.6,97,65,73,87.8
3.5,94,41,57,66.8
2.3,74,92,60,77.9
6.7,84,48,62,79.6
7.4,96,48,66,77.6
2.1,87,79,57,75.7
6.1,69,56,70,74.1
3.8,98,40,67,66.7
7.2,76,64,79,80.9
3.4,98,82,67,82.5
7.5,81,79,95,93.9
5.1,85,81,96,91.5
9.5,84,64,80,90.9
3.1,76,78,87,81.3
4.7,72,74,81,73.2
2.9,79,42,60,59.1
9.4,84,89,94,100.0
9.0,63,76,74,87.5
4.1,69,83,82,81.4
7.3,62,83,87,87.1
8.5,77,90,90,99.9
6.4,95,69,57,86.5
6.2,81,77,60,82.4
3.9,93,73,71,77.9
2.7,67,51,73,57.1
9.2,99,58,90,94.0
9.2,78,76,66,90.7
7.1,96,83,61,89.0
4.7,65,98,95,91.6
4.8,85,98,81,91.5
7.8,93,88,64,90.4
9.2,65,56,65,81.7
9.1,96,49,71,88.8
8.2,92,96,77,95.9
7.1,81,94,69,91.8
2.7,80,88,82,80.5
3.3,65,86,59,78.9
9.2,65,51,89,80.4
6.9,63,55,81,69.9
2.1,89,63,99,79.6
2.8,70,58,82,63.9
7.3,89,47,51,73.2
2.0,90,70,82,74.1
3.3,83,60,82,71.9
6.4,68,56,90,79.6
7.5,62,62,62,79.1
7.2,90,76,79,87.4
3.8,99,93,82,94.7
7.7,96,55,62,80.3
3.9,95,45,75,69.1
4.6,83,47,71,70.9
8.0,90,64,88,87.1
7.2,65,57,51,71.9
8.8,61,64,87,85.5
7.3,79,51,88,78.7
6.5,87,54,75,82.9
2.7,70,98,95,82.1
4.9,63,65,99,81.0
4.1,74,80,64,71.4
4.0,65,84,83,87.8
9.8,89,65,91,94.2
5.1,97,86,93,91.4
9.1,61,71,98,88.4
7.0,74,49,89,74.0
8.4,70,55,60,77.2
6.0,67,46,52,68.0
6.6,85,56,55,72.4
5.9,64,62,58,72.1
3.6,65,65,55,60.9
7.8,85,60,58,83.7
4.2,63,61,88,72.6
2.2,78,97,80,86.9
7.2,79,46,81,75.9
3.4,92,53,90,74.0
9.5,79,54,99,91.3
9.6,71,92,61,90.4
9.3,60,46,57,65.8
5.0,85,48,57,68.6
2.1,73,90,99,81.8
9.4,97,87,77,100.0
5.4,96,47,69,78.2
9.7,70,89,96,100.0
9.7,95,98,56,100.0
8.8,72,62,60,81.4
4.4,62,68,69,72.1
5.1,92,57,65,75.8
8.8,65,70,53,81.5
4.5,69,69,55,71.0
3.4,64,91,71,79.3
6.5,82,78,75,86.5
9.5,69,74,52,86.9
7.6,61,57,90,76.0
6.6,72,98,91,95.4
2.8,99,81,63,85.6
6.9,61,78,60,75.9
9.9,79,56,67,77.8
3.1,60,53,61,60.2
6.1,96,70,72,85.7
9.0,68,63,61,83.3
7.9,76,74,62,84.2
7.6,68,83,74,85.6
7.6,70,99,94,98.2
4.9,74,84,68,84.9
4.3,83,73,95,85.6
8.5,97,42,85,76.8
8.5,94,76,94,99.2
8.9,89,82,57,93.9
9.3,90,79,78,97.4
6.1,64,65,81,74.8
6.0,73,94,93,96.7
8.4,70,62,67,83.9
7.2,68,83,55,76.0
7.6,93,78,67,89.1
8.4,71,54,68,77.1
9.1,94,95,71,100.0
4.7,94,88,86,92.5
5.0,60,43,81,61.8
2.8,99,68,90,84.0
6.6,81,61,52,75.0
2.3,88,64,77,72.8
5.7,67,52,59,66.9
6.3,70,57,84,78.1
4.3,96,72,78,83.0
6.7,73,55,64,75.5
2.2,89,84,82,82.0
2.3,94,81,56,74.3
8.6,80,83,61,90.8
4.9,96,41,98,74.0
3.0,64,94,79,80.2
6.2,78,74,70,85.0
8.2,73,81,80,87.6
3.7,85,73,73,79.6
7.0,63,69,69,75.3
2.7,84,98,86,89.0
2.4,84,94,53,82.0
6.3,77,52,77,68.7
6.3,99,52,93,81.5
7.1,67,57,69,73.3
7.8,98,71,73,92.8
9.8,99,71,99,100.0
6.1,73,74,98,86.2
4.6,91,98,81,100.0
8.4,97,78,90,95.7
4.2,92,85,85,92.5
5.5,82,91,83,90.3
2.6,74,68,85,74.5
2.2,92,88,51,84.9
9.7,84,68,64,91.5
8.7,76,92,83,99.1
7.6,92,83,85,100.0
5.3,61,96,55,84.3
3.4,73,55,88,67.6
3.3,99,95,91,95.0
4.0,99,83,61,79.9
6.4,98,86,52,88.6
7.7,65,96,94,96.9
7.3,65,49,67,68.9
4.2,62,69,89,75.3
9.6,66,64,70,83.4
7.9,67,78,64,85.5
6.4,74,59,82,76.9
6.9,88,44,84,75.2
5.4,92,40,75,76.5
4.0,89,69,57,74.2
4.8,98,88,85,95.6
8.1,86,42,97,86.6
2.1,95,84,79,83.6
2.9,88,53,72,66.7
2.4,97,95,91,90.8
2.3,92,69,93,82.6
8.8,96,89,63,99.6
7.6,86,43,63,71.0
5.8,92,57,51,76.9
2.8,63,76,86,75.8
5.9,81,64,54,74.4
5.8,61,87,87,86.8
3.4,69,40,94,64.7
5.5,64,92,90,87.2
5.2,69,85,96,83.0
6.9,92,54,63,82.3
7.1,97,48,88,85.9
2.4,72,54,74,65.8
5.0,90,88,69,93.1
7.0,95,96,51,97.4
6.0,83,63,88,84.8
8.9,74,43,55,66.0
7.3,88,51,66,81.8
3.3,67,98,74,82.6
2.6,64,97,77,80.8
7.1,88,76,51,85.7
2.2,63,76,84,73.9
6.7,71,82,86,91.4
9.5,61,99,54,94.4
6.6,86,45,50,71.7
5.1,90,78,89,89.4
7.1,95,95,61,86.4
5.7,95,85,85,92.9
6.4,85,63,94,82.7
9.5,86,50,72,87.6
5.1,64,52,96,73.8
9.7,79,73,80,91.8
9.2,70,64,60,80.5
3.6,69,46,59,58.7
2.6,99,91,52,81.8
2.8,97,43,63,61.6
2.1,65,98,65,72.0
2.8,67,47,59,57.8
7.5,82,59,78,85.8
2.6,85,68,59,69.4
4.6,71,93,61,83.1
8.8,85,92,79,100.0
2.2,72,90,90,78.1
8.5,99,84,50,94.5
4.3,77,85,54,76.7
2.9,84,49,69,70.7
7.6,92,82,57,95.5
7.0,99,73,92,91.8
9.0,71,96,61,95.6
7.9,95,65,50,87.5
8.4,63,80,69,88.2
4.3,64,88,77,80.8
3.4,96,97,92,98.4
8.0,67,42,86,71.4
8.5,87,95,96,100.0
9.9,90,45,86,84.3
5.3,68,44,61,65.8
5.0,88,44,86,72.0
8.2,73,93,98,98.7
4.7,99,86,98,97.3
9.4,81,62,93,93.3
8.9,70,88,77,91.1
5.4,82,48,96,79.7
8.0,60,74,64,81.8
8.0,96,59,55,80.2
2.8,80,97,93,84.4
9.2,85,88,69,97.5
6.0,95,98,99,100.0
8.6,82,81,63,93.7
4.6,60,74,51,70.4
9.2,99,89,58,100.0
5.1,74,57,86,76.5
2.1,80,56,69,62.9
9.2,68,63,75,88.7
2.7,68,42,78,64.6
4.6,69,71,50,71.9
9.6,85,74,84,96.5
9.6,94,77,55,92.8
6.6,84,52,86,81.3
7.1,85,95,54,90.0
5.6,70,86,82,79.1
4.3,97,64,98,76.9
4.6,61,48,63,59.2
7.4,66,43,61,68.2
8.0,77,53,91,83.5
8.3,86,76,69,89.3
8.3,93,73,99,98.1
2.7,86,50,73,66.3
6.0,76,80,92,85.2
2.5,83,95,83,85.6
6.4,84,42,74,75.2
5.5,66,98,99,89.7
9.1,65,67,78,81.8
4.8,83,68,88,78.5
2.9,92,48,80,64.2
3.1,88,42,96,68.7
8.1,81,64,92,90.7
6.9,85,73,99,92.3
2.8,87,51,72,67.4
2.7,80,81,93,82.1
7.6,66,48,87,73.9
2.6,76,54,69,58.9
8.6,79,79,72,93.6
7.6,79,64,94,90.3
2.7,81,44,65,59.5
2.7,87,50,99,72.2
9.9,99,98,91,100.0
5.0,66,73,57,74.0
5.0,60,63,99,80.6
8.5,91,99,70,100.0
9.6,72,54,50,76.1
9.9,89,77,57,95.3
8.0,82,47,78,82.8
5.0,78,98,81,92.5
2.7,91,44,87,69.0
8.2,89,87,54,94.1
6.5,88,65,96,85.7
5.4,88,57,71,75.2
9.3,89,45,96,84.0
2.9,75,76,83,77.7
5.9,99,99,50,93.7
2.1,78,87,75,76.0
5.7,77,52,92,76.1
2.5,60,67,59,64.3
3.0,73,44,79,68.5
2.9,61,52,99,69.2
7.2,87,56,67,73.0
8.0,89,89,66,96.2
6.7,97,79,75,96.7
9.7,63,84,57,84.1
5.0,60,71,96,79.8
4.3,67,68,89,75.1
8.9,88,90,98,100.0
3.8,98,97,61,91.1
9.7,62,42,76,72.2
2.1,91,95,57,81.3
9.8,69,79,74,91.2
2.3,69,73,95,74.3
9.1,78,79,53,91.7
6.2,93,66,82,83.7
9.9,92,52,50,86.2
2.6,82,84,68,77.4
6.4,87,72,80,87.6
9.8,91,45,65,83.0
6.2,66,63,63,73.0
7.0,88,58,97,86.5
7.6,67,55,54,76.3
5.6,60,79,90,84.1
7.0,62,67,75,76.8
6.7,83,72,77,90.6
9.2,82,98,51,97.8
2.4,67,98,99,86.2
4.2,96,87,55,82.6
9.6,62,80,58,84.7
9.1,92,52,82,85.5
5.6,87,82,90,91.2
7.0,67,84,74,87.9
4.2,93,64,97,84.5
3.5,94,92,62,90.9
5.7,91,81,58,82.9
4.8,83,75,62,79.6
6.7,73,66,80,77.2
2.6,91,77,90,79.8
9.8,75,99,60,100.0
9.9,63,46,53,71.3
